record_number,temperature,suitable_living_temp_cod,suitable_spawning_temp_cod,preferred_spawning_temp_cod
78576,7.46999979019165,true,true,false
78577,7.449999809265137,true,true,false
78578,7.489999771118164,true,true,false
78579,7.480000019073486,true,true,false
78580,7.489999771118164,true,true,false
78581,7.480000019073486,true,true,false
78582,7.46999979019165,true,true,false
78583,7.46999979019165,true,true,false
78584,7.460000038146973,true,true,false
78585,7.460000038146973,true,true,false
78586,7.46999979019165,true,true,false
78587,7.46999979019165,true,true,false
78588,7.460000038146973,true,true,false
78589,7.46999979019165,true,true,false
78590,7.46999979019165,true,true,false
78591,7.489999771118164,true,true,false
78592,7.46999979019165,true,true,false
78593,7.460000038146973,true,true,false
78594,7.480000019073486,true,true,false
78595,7.460000038146973,true,true,false
78596,7.46999979019165,true,true,false
78597,7.480000019073486,true,true,false
78598,7.46999979019165,true,true,false
78599,7.46999979019165,true,true,false
78600,7.480000019073486,true,true,false
78601,7.480000019073486,true,true,false
78602,7.46999979019165,true,true,false
78603,7.489999771118164,true,true,false
78604,7.480000019073486,true,true,false
78605,7.460000038146973,true,true,false
78606,7.46999979019165,true,true,false
78607,7.489999771118164,true,true,false
78608,7.480000019073486,true,true,false
78609,7.46999979019165,true,true,false
78610,7.46999979019165,true,true,false
78611,7.480000019073486,true,true,false
78612,7.480000019073486,true,true,false
78613,7.46999979019165,true,true,false
78614,7.46999979019165,true,true,false
78615,7.46999979019165,true,true,false
78616,7.46999979019165,true,true,false
78617,7.46999979019165,true,true,false
78618,7.489999771118164,true,true,false
78619,7.46999979019165,true,true,false
78620,7.489999771118164,true,true,false
78621,7.460000038146973,true,true,false
78622,7.489999771118164,true,true,false
78623,7.460000038146973,true,true,false
78624,7.46999979019165,true,true,false
78625,7.489999771118164,true,true,false
78626,7.480000019073486,true,true,false
78627,7.480000019073486,true,true,false
78628,7.480000019073486,true,true,false
78629,7.480000019073486,true,true,false
78630,7.46999979019165,true,true,false
78631,7.480000019073486,true,true,false
78632,7.46999979019165,true,true,false
78633,7.489999771118164,true,true,false
78634,7.480000019073486,true,true,false
78635,7.480000019073486,true,true,false
78636,7.46999979019165,true,true,false
78637,7.489999771118164,true,true,false
78638,7.480000019073486,true,true,false
78639,7.46999979019165,true,true,false
78640,7.460000038146973,true,true,false
78641,7.480000019073486,true,true,false
78642,7.489999771118164,true,true,false
78643,7.46999979019165,true,true,false
78644,7.489999771118164,true,true,false
78645,7.480000019073486,true,true,false
78646,7.489999771118164,true,true,false
78647,7.480000019073486,true,true,false
78648,7.480000019073486,true,true,false
78649,7.480000019073486,true,true,false
78650,7.489999771118164,true,true,false
78651,7.5,true,true,false
78652,7.480000019073486,true,true,false
78653,7.480000019073486,true,true,false
78654,7.480000019073486,true,true,false
78655,7.489999771118164,true,true,false
78656,7.5,true,true,false
78657,7.5,true,true,false
78658,7.5,true,true,false
78659,7.489999771118164,true,true,false
78660,7.5,true,true,false
78661,7.5,true,true,false
78662,7.5,true,true,false
78663,7.489999771118164,true,true,false
78664,7.519999980926514,true,true,false
78665,7.5,true,true,false
78666,7.489999771118164,true,true,false
78667,7.510000228881836,true,true,false
78668,7.510000228881836,true,true,false
78669,7.5,true,true,false
78670,7.510000228881836,true,true,false
78671,7.519999980926514,true,true,false
78672,7.489999771118164,true,true,false
78673,7.510000228881836,true,true,false
78674,7.510000228881836,true,true,false
78675,7.5,true,true,false
78676,7.5,true,true,false
78677,7.5,true,true,false
78678,7.510000228881836,true,true,false
78679,7.5,true,true,false
78680,7.5,true,true,false
78681,7.519999980926514,true,true,false
78682,7.519999980926514,true,true,false
78683,7.5,true,true,false
78684,7.519999980926514,true,true,false
78685,7.510000228881836,true,true,false
78686,7.510000228881836,true,true,false
78687,7.510000228881836,true,true,false
78688,7.5,true,true,false
78689,7.510000228881836,true,true,false
78690,7.5,true,true,false
78691,7.519999980926514,true,true,false
78692,7.510000228881836,true,true,false
78693,7.5,true,true,false
78694,7.5,true,true,false
78695,7.510000228881836,true,true,false
78696,7.510000228881836,true,true,false
78697,7.510000228881836,true,true,false
78698,7.510000228881836,true,true,false
78699,7.519999980926514,true,true,false
78700,7.510000228881836,true,true,false
78701,7.489999771118164,true,true,false
78702,7.519999980926514,true,true,false
78703,7.510000228881836,true,true,false
78704,7.489999771118164,true,true,false
78705,7.510000228881836,true,true,false
78706,7.5,true,true,false
78707,7.489999771118164,true,true,false
78708,7.510000228881836,true,true,false
78709,7.510000228881836,true,true,false
78710,7.519999980926514,true,true,false
78711,7.53000020980835,true,true,false
78712,7.5,true,true,false
78713,7.519999980926514,true,true,false
78714,7.5,true,true,false
78715,7.510000228881836,true,true,false
78716,7.510000228881836,true,true,false
78717,7.53000020980835,true,true,false
78718,7.519999980926514,true,true,false
78719,7.519999980926514,true,true,false
78720,7.5,true,true,false
78721,7.519999980926514,true,true,false
78722,7.510000228881836,true,true,false
78723,7.519999980926514,true,true,false
78724,7.510000228881836,true,true,false
78725,7.53000020980835,true,true,false
78726,7.53000020980835,true,true,false
78727,7.519999980926514,true,true,false
78728,7.519999980926514,true,true,false
78729,7.539999961853027,true,true,false
78730,7.519999980926514,true,true,false
78731,7.539999961853027,true,true,false
78732,7.53000020980835,true,true,false
78733,7.550000190734863,true,true,false
78734,7.550000190734863,true,true,false
78735,7.550000190734863,true,true,false
78736,7.539999961853027,true,true,false
78737,7.539999961853027,true,true,false
78738,7.559999942779541,true,true,false
78739,7.53000020980835,true,true,false
78740,7.550000190734863,true,true,false
78741,7.539999961853027,true,true,false
78742,7.550000190734863,true,true,false
78743,7.539999961853027,true,true,false
78744,7.539999961853027,true,true,false
78745,7.550000190734863,true,true,false
78746,7.559999942779541,true,true,false
78747,7.570000171661377,true,true,false
78748,7.550000190734863,true,true,false
78749,7.559999942779541,true,true,false
78750,7.559999942779541,true,true,false
78751,7.550000190734863,true,true,false
78752,7.559999942779541,true,true,false
78753,7.570000171661377,true,true,false
78754,7.579999923706055,true,true,false
78755,7.559999942779541,true,true,false
78756,7.550000190734863,true,true,false
78757,7.579999923706055,true,true,false
78758,7.570000171661377,true,true,false
78759,7.559999942779541,true,true,false
78760,7.570000171661377,true,true,false
78761,7.570000171661377,true,true,false
78762,7.570000171661377,true,true,false
78763,7.579999923706055,true,true,false
78764,7.559999942779541,true,true,false
78765,7.570000171661377,true,true,false
78766,7.559999942779541,true,true,false
78767,7.570000171661377,true,true,false
78768,7.570000171661377,true,true,false
78769,7.550000190734863,true,true,false
78770,7.570000171661377,true,true,false
78771,7.579999923706055,true,true,false
